RenComp7_metadata,,,,,,,
File Name,Composer Given Name,Composer Surname,Musical Work Name,Section Name,Genre,Sacred/Secular,Collection Name
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Benedictus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Credo_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Gloria_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Kyrie_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Sanctus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Agnus_I_7.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Agnus_II_8.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Benedictus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Credo_6.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Gloria_6.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Kyrie_6.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1596)_Sanctus_6.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1596),Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Agnus_I_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Agnus_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Benedictus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Credo_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Gloria_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Kyrie_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_regina_coelorum_Sanctus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave regina coelorum,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Agnus_I_5.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Beatus_Laurentius_Agnus_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Beatus Laurentius,Agnus II ,Mass,Sacred,RenComp7
